UniprotID	ProteinName	Gene
Q03395	Rod outer segment membrane protein 1 (ROSP1) (Tetraspanin-23) (Tspan-23)	ROM1
P09651	"Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]"	HNRNPA1
Q04912	Macrophage-stimulating protein receptor (MSP receptor) (EC 2.7.10.1) (CDw136) (Protein-tyrosine kinase 8) (p185-Ron) (CD antigen CD136) [Cleaved into: Macrophage-stimulating protein receptor alpha chain; Macrophage-stimulating protein receptor beta chain]	MST1R
Q01974	"Tyrosine-protein kinase transmembrane receptor ROR2 (EC 2.7.10.1) (Neurotrophic tyrosine kinase, receptor-related 2)"	ROR2
P35398	Nuclear receptor ROR-alpha (Nuclear receptor RZR-alpha) (Nuclear receptor subfamily 1 group F member 1) (RAR-related orphan receptor A) (Retinoid-related orphan receptor-alpha)	RORA
P49247	Ribose-5-phosphate isomerase (EC 5.3.1.6) (Phosphoriboisomerase)	RPIA
Q9BQ52	Zinc phosphodiesterase ELAC protein 2 (EC 3.1.26.11) (ElaC homolog protein 2) (Heredity prostate cancer protein 2) (Ribonuclease Z 2) (RNase Z 2) (tRNA 3 endonuclease 2) (tRNase Z 2)	ELAC2
P22626	Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)	HNRNPA2B1
Q9GZN7	Protein rogdi homolog	ROGDI
Q96MS0	Roundabout homolog 3 (Roundabout-like protein 3)	ROBO3
Q8IWN7	Retinitis pigmentosa 1-like 1 protein	RP1L1
Q8N0X7	Spartin (Spastic paraplegia 20 protein) (Trans-activated by hepatitis C virus core protein 1)	SPART
Q01105	Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase) (IGAAD) (PHAPII) (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)	SET
P08922	Proto-oncogene tyrosine-protein kinase ROS (EC 2.7.10.1) (Proto-oncogene c-Ros) (Proto-oncogene c-Ros-1) (Receptor tyrosine kinase c-ros oncogene 1) (c-Ros receptor tyrosine kinase)	ROS1
Q07617	Sperm-associated antigen 1 (HSD-3.8) (Infertility-related sperm protein Spag-1)	SPAG1
Q9HD40	O-phosphoseryl-tRNA(Sec) selenium transferase (EC 2.9.1.2) (Liver-pancreas antigen) (LP) (SLA-p35) (SLA/LP autoantigen) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase) (Sep-tRNA:Sec-tRNA synthase) (SepSecS) (Soluble liver antigen) (SLA) (UGA suppressor tRNA-associated protein) (tRNA(Ser/Sec)-associated antigenic protein)	SEPSECS
A1X283	SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)	SH3PXD2B
O60930	Ribonuclease H1 (RNase H1) (EC 3.1.26.4) (Ribonuclease H type II)	RNASEH1
Q05823	2-5A-dependent ribonuclease (2-5A-dependent RNase) (EC 3.1.26.-) (Ribonuclease 4) (Ribonuclease L) (RNase L)	RNASEL
Q8IYW5	E3 ubiquitin-protein ligase RNF168 (hRNF168) (EC 2.3.2.27) (RING finger protein 168) (RING-type E3 ubiquitin transferase RNF168)	RNF168
Q9Y252	E3 ubiquitin-protein ligase RNF6 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RNF6)	RNF6
Q5TBB1	Ribonuclease H2 subunit B (RNase H2 subunit B) (Aicardi-Goutieres syndrome 2 protein) (AGS2) (Deleted in lymphocytic leukemia 8) (Ribonuclease HI subunit B)	RNASEH2B
Q8IYM1	Septin-12	12-Sep
O43175	D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37)	PHGDH
Q9BSV6	tRNA-splicing endonuclease subunit Sen34 (EC 4.6.1.16) (Leukocyte receptor cluster member 5) (tRNA-intron endonuclease Sen34) (HsSen34)	TSEN34
O95343	Homeobox protein SIX3 (Sine oculis homeobox homolog 3)	SIX3
Q15475	Homeobox protein SIX1 (Sine oculis homeobox homolog 1)	SIX1
O15455	Toll-like receptor 3 (CD antigen CD283)	TLR3
P19634	"Sodium/hydrogen exchanger 1 (APNH) (Na(+)/H(+) antiporter, amiloride-sensitive) (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"	SLC9A1
P48764	Sodium/hydrogen exchanger 3 (Na(+)/H(+) exchanger 3) (NHE-3) (Solute carrier family 9 member 3)	SLC9A3
O60602	Toll-like receptor 5 (Toll/interleukin-1 receptor-like protein 3)	TLR5
Q96PX8	SLIT and NTRK-like protein 1 (Leucine-rich repeat-containing protein 12)	SLITRK1
O75204	Transmembrane protein 127	TMEM127
P0C7P3	Protein SLFN14 [Cleaved into: C-terminally truncated SLFN14 endoribonuclease (EC 3.1.-.-) (Schlafen family member 14)]	SLFN14
Q9NPI0	Transmembrane protein 138	TMEM138
Q9HC07	Transmembrane protein 165 (Transmembrane protein PT27) (Transmembrane protein TPARL)	TMEM165
Q9ULL8	Protein Shroom4 (Second homolog of apical protein)	SHROOM4
Q07837	"Neutral and basic amino acid transport protein rBAT (NBAT) (D2h) (Solute carrier family 3 member 1) (b(0,+)-type amino acid transport protein)"	SLC3A1
Q9H4F8	SPARC-related modular calcium-binding protein 1 (Secreted modular calcium-binding protein 1) (SMOC-1)	SMOC1
Q13424	Alpha-1-syntrophin (59 kDa dystrophin-associated protein A1 acidic component 1) (Pro-TGF-alpha cytoplasmic domain-interacting protein 1) (TACIP1) (Syntrophin-1)	SNTA1
Q07889	Son of sevenless homolog 1 (SOS-1)	SOS1
P01241	Somatotropin (Growth hormone) (GH) (GH-N) (Growth hormone 1) (Pituitary growth hormone)	GH1
Q9NZV5	Selenoprotein N (SelN)	SELENON
Q9H3S1	Semaphorin-4A (Semaphorin-B) (Sema B)	SEMA4A
Q8NCE0	tRNA-splicing endonuclease subunit Sen2 (EC 4.6.1.16) (tRNA-intron endonuclease Sen2) (HsSen2)	TSEN2
Q11203	"CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase (EC 2.4.99.6) (Beta-galactoside alpha-2,3-sialyltransferase 3) (Alpha 2,3-ST 3) (Gal beta-1,3(4) GlcNAc alpha-2,3 sialyltransferase) (N-acetyllactosaminide alpha-2,3-sialyltransferase) (ST3Gal III) (ST3GalIII) (ST3N) (Sialyltransferase 6)"	ST3GAL3
Q9H808	Transducin-like enhancer protein 6	TLE6
P78330	Phosphoserine phosphatase (PSP) (PSPase) (EC 3.1.3.3) (L-3-phosphoserine phosphatase) (O-phosphoserine phosphohydrolase)	PSPH
Q15465	Sonic hedgehog protein (SHH) (HHG-1) (Shh unprocessed N-terminal signaling and C-terminal autoprocessing domains) (ShhNC) [Cleaved into: Sonic hedgehog protein N-product (ShhN) (Shh N-terminal processed signaling domains) (ShhNp)]	SHH
Q9H173	Nucleotide exchange factor SIL1 (BiP-associated protein) (BAP)	SIL1
P57059	Serine/threonine-protein kinase SIK1 (EC 2.7.11.1) (Salt-inducible kinase 1) (SIK-1) (Serine/threonine-protein kinase SNF1-like kinase 1) (Serine/threonine-protein kinase SNF1LK)	SIK1
Q86UE8	Serine/threonine-protein kinase tousled-like 2 (EC 2.7.11.1) (HsHPK) (PKU-alpha) (Tousled-like kinase 2)	TLK2
Q8N196	Homeobox protein SIX5 (DM locus-associated homeodomain protein) (Sine oculis homeobox homolog 5)	SIX5
O95475	Homeobox protein SIX6 (Homeodomain protein OPTX2) (Optic homeobox 2) (Sine oculis homeobox homolog 6)	SIX6
Q15477	Helicase SKI2W (Ski2) (EC 3.6.4.-) (Helicase-like protein) (HLP)	SKIV2L
P12755	Ski oncogene (Proto-oncogene c-Ski)	SKI
O15269	Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1)	SPTLC1
Q96JI7	Spatacsin (Colorectal carcinoma-associated protein) (Spastic paraplegia 11 protein)	SPG11
Q96DX4	RING finger and SPRY domain-containing protein 1	RSPRY1
P21817	Ryanodine receptor 1 (RYR-1) (RyR1) (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-type ryanodine receptor) (Type 1 ryanodine receptor)	RYR1
Q9BYT1	Solute carrier family 17 member 9	SLC17A9
Q9BZD2	Equilibrative nucleoside transporter 3 (hENT3) (Solute carrier family 29 member 3)	SLC29A3
Q96H72	Zinc transporter ZIP13 (LIV-1 subfamily of ZIP zinc transporter 9) (LZT-Hs9) (Solute carrier family 39 member 13) (Zrt- and Irt-like protein 13) (ZIP-13)	SLC39A13
Q9NY65	Tubulin alpha-8 chain (Alpha-tubulin 8) (Tubulin alpha chain-like 2)	TUBA8
P62273	40S ribosomal protein S29 (Small ribosomal subunit protein uS14)	RPS29
Q6UXX9	R-spondin-2 (Roof plate-specific spondin-2) (hRspo2)	RSPO2
Q2I0M5	R-spondin-4 (Roof plate-specific spondin-4) (hRspo4)	RSPO4
Q15858	Sodium channel protein type 9 subunit alpha (Neuroendocrine sodium channel) (hNE-Na) (Peripheral sodium channel 1) (PN1) (Sodium channel protein type IX subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.7)	SCN9A
A6NFY7	"Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (SDHAF1) (LYR motif-containing protein 8)"	SDHAF1
Q8WW01	tRNA-splicing endonuclease subunit Sen15 (SEN15 homolog) (HsSEN15) (tRNA-intron endonuclease Sen15)	TSEN15
Q9BYB0	SH3 and multiple ankyrin repeat domains protein 3 (Shank3) (Proline-rich synapse-associated protein 2) (ProSAP2)	SHANK3
Q9NR45	Sialic acid synthase (N-acetylneuraminate synthase) (EC 2.5.1.56) (N-acetylneuraminate-9-phosphate synthase) (EC 2.5.1.57) (N-acetylneuraminic acid phosphate synthase) (N-acetylneuraminic acid synthase)	NANS
P0DJI9	Serum amyloid A-2 protein (SAA2) [Cleaved into: Amyloid A2 protein (AA2)]	SAA2
Q9NP59	Solute carrier family 40 member 1 (Ferroportin-1) (Iron-regulated transporter 1)	SLC40A1
Q9Y345	Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5)	SLC6A5
Q15436	Protein transport protein Sec23A (hSec23A) (SEC23-related protein A)	SEC23A
Q14563	Semaphorin-3A (Semaphorin III) (Sema III)	SEMA3A
O60292	Signal-induced proliferation-associated 1-like protein 3 (SIPA1-like protein 3) (SPA-1-like protein 3)	SIPA1L3
Q86VV8	Rotatin	RTTN
Q9NRA2	Sialin (H(+)/nitrate cotransporter) (H(+)/sialic acid cotransporter) (AST) (Membrane glycoprotein HP59) (Solute carrier family 17 member 5) (Vesicular H(+)/Aspartate-glutamate cotransporter)	SLC17A5
Q9H2B4	Sulfate anion transporter 1 (SAT-1) (Solute carrier family 26 member 1)	SLC26A1
Q9BZV2	Thiamine transporter 2 (ThTr-2) (ThTr2) (Solute carrier family 19 member 3)	SLC19A3
Q6UVJ0	Spindle assembly abnormal protein 6 homolog (HsSAS-6)	SASS6
P30531	Sodium- and chloride-dependent GABA transporter 1 (GAT-1) (Solute carrier family 6 member 1)	SLC6A1
P21583	Kit ligand (Mast cell growth factor) (MGF) (Stem cell factor) (SCF) (c-Kit ligand) [Cleaved into: Soluble KIT ligand (sKITLG)]	KITLG
P48029	Sodium- and chloride-dependent creatine transporter 1 (CT1) (Creatine transporter 1) (Solute carrier family 6 member 8)	SLC6A8
P35498	Sodium channel protein type 1 subunit alpha (Sodium channel protein brain I subunit alpha) (Sodium channel protein type I subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.1)	SCN1A
P51170	Amiloride-sensitive sodium channel subunit gamma (Epithelial Na(+) channel subunit gamma) (ENaCG) (Gamma-ENaC) (Gamma-NaCH) (Nonvoltage-gated sodium channel 1 subunit gamma) (SCNEG)	SCNN1G
Q07699	Sodium channel subunit beta-1	SCN1B
O75880	"Protein SCO1 homolog, mitochondrial"	SCO1
Q99250	Sodium channel protein type 2 subunit alpha (HBSC II) (Sodium channel protein brain II subunit alpha) (Sodium channel protein type II subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.2)	SCN2A
P35499	Sodium channel protein type 4 subunit alpha (SkM1) (Sodium channel protein skeletal muscle subunit alpha) (Sodium channel protein type IV subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.4)	SCN4A
Q13621	Solute carrier family 12 member 1 (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2) (Kidney-specific Na-K-Cl symporter)	SLC12A1
Q9NVW2	E3 ubiquitin-protein ligase RLIM (EC 2.3.2.27) (LIM domain-interacting RING finger protein) (RING finger LIM domain-binding protein) (R-LIM) (RING finger protein 12) (RING-type E3 ubiquitin transferase RLIM) (Renal carcinoma antigen NY-REN-43)	RLIM
O15160	DNA-directed RNA polymerases I and III subunit RPAC1 (DNA-directed RNA polymerase I subunit C) (RNA polymerases I and III subunit AC1) (AC40) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (RPA40) (RPA39) (RPC40)	POLR1C
Q96EQ8	E3 ubiquitin-protein ligase RNF125 (EC 2.3.2.27) (RING finger protein 125) (T-cell RING activation protein 1) (TRAC-1)	RNF125
Q9NWS8	Required for meiotic nuclear division protein 1 homolog	RMND1
P17900	Ganglioside GM2 activator (Cerebroside sulfate activator protein) (GM2-AP) (Sphingolipid activator protein 3) (SAP-3) [Cleaved into: Ganglioside GM2 activator isoform short]	GM2A
Q68DV7	E3 ubiquitin-protein ligase RNF43 (EC 2.3.2.27) (RING finger protein 43) (RING-type E3 ubiquitin transferase RNF43)	RNF43
P09001	"39S ribosomal protein L3, mitochondrial (L3mt) (MRP-L3) (Mitochondrial large ribosomal subunit protein uL3m)"	MRPL3
Q9NTX7	E3 ubiquitin-protein ligase RNF146 (EC 2.3.2.27) (Dactylidin) (Iduna) (RING finger protein 146) (RING-type E3 ubiquitin transferase RNF146)	RNF146
Q6PCD5	E3 ubiquitin-protein ligase RFWD3 (EC 2.3.2.27) (RING finger and WD repeat domain-containing protein 3) (RING finger protein 201)	RFWD3
O14593	DNA-binding protein RFXANK (Ankyrin repeat family A protein 1) (Regulatory factor X subunit B) (RFX-B) (Regulatory factor X-associated ankyrin-containing protein)	RFXANK
P18077	60S ribosomal protein L35a (Cell growth-inhibiting gene 33 protein) (Large ribosomal subunit protein eL33)	RPL35A
P57078	Receptor-interacting serine/threonine-protein kinase 4 (EC 2.7.11.1) (Ankyrin repeat domain-containing protein 3) (PKC-delta-interacting protein kinase)	RIPK4
Q9BYW2	Histone-lysine N-methyltransferase SETD2 (EC 2.1.1.359) (HIF-1) (Huntingtin yeast partner B) (Huntingtin-interacting protein 1) (HIP-1) (Huntingtin-interacting protein B) (Lysine N-methyltransferase 3A) (Protein-lysine N-methyltransferase SETD2) (EC 2.1.1.-) (SET domain-containing protein 2) (hSET2) (p231HBP)	SETD2
Q8IWL2	Pulmonary surfactant-associated protein A1 (PSP-A) (PSPA) (SP-A) (SP-A1) (35 kDa pulmonary surfactant-associated protein) (Alveolar proteinosis protein) (Collectin-4)	SFTPA1
Q8IUD6	E3 ubiquitin-protein ligase RNF135 (EC 2.3.2.27) (RIG-I E3 ubiquitin ligase) (REUL) (RING finger protein 135) (RING finger protein leading to RIG-I activation) (Riplet) (RING-type E3 ubiquitin transferase RNF135)	RNF135
Q8TDP1	Ribonuclease H2 subunit C (RNase H2 subunit C) (Aicardi-Goutieres syndrome 3 protein) (AGS3) (RNase H1 small subunit) (Ribonuclease HI subunit C)	RNASEH2C
O75792	Ribonuclease H2 subunit A (RNase H2 subunit A) (EC 3.1.26.4) (Aicardi-Goutieres syndrome 4 protein) (AGS4) (RNase H(35)) (Ribonuclease HI large subunit) (RNase HI large subunit) (Ribonuclease HI subunit A)	RNASEH2A
P51449	Nuclear receptor ROR-gamma (Nuclear receptor RZR-gamma) (Nuclear receptor subfamily 1 group F member 3) (RAR-related orphan receptor C) (Retinoid-related orphan receptor-gamma)	RORC
P56715	Oxygen-regulated protein 1 (Retinitis pigmentosa 1 protein) (Retinitis pigmentosa RP1 protein)	RP1
P78381	UDP-galactose translocator (Solute carrier family 35 member A2) (UDP-galactose transporter) (UDP-Gal-Tr) (UGT)	SLC35A2
Q9H9J2	"39S ribosomal protein L44, mitochondrial (L44mt) (MRP-L44) (EC 3.1.26.-) (Mitochondrial large ribosomal subunit protein mL44)"	MRPL44
Q9Y2R9	"28S ribosomal protein S7, mitochondrial (MRP-S7) (S7mt) (Mitochondrial small ribosomal subunit protein uS7m) (bMRP-27a) (bMRP27a)"	MRPS7
P82650	"28S ribosomal protein S22, mitochondrial (MRP-S22) (S22mt) (Mitochondrial small ribosomal subunit protein mS22)"	MRPS22
O95136	Sphingosine 1-phosphate receptor 2 (S1P receptor 2) (S1P2) (Endothelial differentiation G-protein coupled receptor 5) (Sphingosine 1-phosphate receptor Edg-5) (S1P receptor Edg-5)	S1PR2
Q9H015	Solute carrier family 22 member 4 (Ergothioneine transporter) (ET transporter) (Organic cation/carnitine transporter 1)	SLC22A4
P0DJI8	Serum amyloid A-1 protein (SAA) [Cleaved into: Amyloid protein A (Amyloid fibril protein AA); Serum amyloid protein A(2-104); Serum amyloid protein A(3-104); Serum amyloid protein A(2-103); Serum amyloid protein A(2-102); Serum amyloid protein A(4-101)]	SAA1
Q9H1V8	Sodium-dependent neutral amino acid transporter SLC6A17 (Sodium-dependent neurotransmitter transporter NTT4) (Solute carrier family 6 member 17)	SLC6A17
P61619	Protein transport protein Sec61 subunit alpha isoform 1 (Sec61 alpha-1)	SEC61A1
Q9Y467	Sal-like protein 2 (Zinc finger protein 795) (Zinc finger protein SALL2) (Zinc finger protein Spalt-2) (Sal-2) (hSal2)	SALL2
Q9GZV3	High affinity choline transporter 1 (Hemicholinium-3-sensitive choline transporter) (CHT) (Solute carrier family 5 member 7)	SLC5A7
O15270	Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2)	SPTLC2
P08865	40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)	RPSA
Q01196	Runt-related transcription factor 1 (Acute myeloid leukemia 1 protein) (Core-binding factor subunit alpha-2) (CBF-alpha-2) (Oncogene AML-1) (Polyomavirus enhancer-binding protein 2 alpha B subunit) (PEA2-alpha B) (PEBP2-alpha B) (SL3-3 enhancer factor 1 alpha B subunit) (SL3/AKV core-binding factor alpha B subunit)	RUNX1
Q13950	Runt-related transcription factor 2 (Acute myeloid leukemia 3 protein) (Core-binding factor subunit alpha-1) (CBF-alpha-1) (Oncogene AML-3) (Osteoblast-specific transcription factor 2) (OSF-2) (Polyomavirus enhancer-binding protein 2 alpha A subunit) (PEA2-alpha A) (PEBP2-alpha A) (SL3-3 enhancer factor 1 alpha A subunit) (SL3/AKV core-binding factor alpha A subunit)	RUNX2
Q53R12	Transmembrane 4 L6 family member 20	TM4SF20
Q9Y3Z3	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (dNTPase) (EC 3.1.5.-) (Dendritic cell-derived IFNG-induced protein) (DCIP) (Monocyte protein 5) (MOP-5) (SAM domain and HD domain-containing protein 1) (hSAMHD1)	SAMHD1
O94855	Protein transport protein Sec24D (SEC24-related protein D)	SEC24D
P23975	Sodium-dependent noradrenaline transporter (Norepinephrine transporter) (NET) (Solute carrier family 6 member 2)	SLC6A2
Q9UPW6	DNA-binding protein SATB2 (Special AT-rich sequence-binding protein 2)	SATB2
Q495M3	Proton-coupled amino acid transporter 2 (Proton/amino acid transporter 2) (Solute carrier family 36 member 2) (Tramdorin-1)	SLC36A2
Q6P5W5	Zinc transporter ZIP4 (Solute carrier family 39 member 4) (Zrt- and Irt-like protein 4) (ZIP-4)	SLC39A4
Q96N87	Inactive sodium-dependent neutral amino acid transporter B(0)AT3 (Sodium- and chloride-dependent transporter XTRP2) (Solute carrier family 6 member 18) (System B(0) neutral amino acid transporter AT3)	SLC6A18
Q9NP91	Sodium- and chloride-dependent transporter XTRP3 (Sodium/imino-acid transporter 1) (Solute carrier family 6 member 20) (Transporter rB21A homolog)	SLC6A20
Q8NBS3	Sodium bicarbonate transporter-like protein 11 (Bicarbonate transporter-related protein 1) (Sodium borate cotransporter 1) (NaBC1) (Solute carrier family 4 member 11)	SLC4A11
Q8TBB6	Probable cationic amino acid transporter (Solute carrier family 7 member 14)	SLC7A14
Q15437	Protein transport protein Sec23B (hSec23B) (SEC23-related protein B)	SEC23B
Q9Y6B6	GTP-binding protein SAR1b (GTP-binding protein B) (GTBPB)	SAR1B
Q9UI33	Sodium channel protein type 11 subunit alpha (Peripheral nerve sodium channel 5) (PN5) (Sensory neuron sodium channel 2) (Sodium channel protein type XI subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.9) (hNaN)	SCN11A
P51168	Amiloride-sensitive sodium channel subunit beta (Beta-NaCH) (Epithelial Na(+) channel subunit beta) (Beta-ENaC) (ENaCB) (Nonvoltage-gated sodium channel 1 subunit beta) (SCNEB)	SCNN1B
P31639	Sodium/glucose cotransporter 2 (Na(+)/glucose cotransporter 2) (Low affinity sodium-glucose cotransporter) (Solute carrier family 5 member 2)	SLC5A2
Q9UL12	"Sarcosine dehydrogenase, mitochondrial (SarDH) (EC 1.5.8.3) (BPR-2)"	SARDH
O75845	Lathosterol oxidase (EC 1.14.19.20) (C-5 sterol desaturase) (Delta(7)-sterol 5-desaturase) (Delta(7)-sterol C5(6)-desaturase) (Lathosterol 5-desaturase) (Sterol-C5-desaturase)	SC5D
P48067	Sodium- and chloride-dependent glycine transporter 1 (GlyT-1) (GlyT1) (Solute carrier family 6 member 9)	SLC6A9
Q9Y5Y9	Sodium channel protein type 10 subunit alpha (Peripheral nerve sodium channel 3) (PN3) (hPN3) (Sodium channel protein type X subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.8)	SCN10A
Q9NY72	Sodium channel subunit beta-3	SCN3B
Q7Z6J9	tRNA-splicing endonuclease subunit Sen54 (SEN54 homolog) (HsSEN54) (tRNA-intron endonuclease Sen54)	TSEN54
Q92911	Sodium/iodide cotransporter (Na(+)/I(-) cotransporter) (Sodium-iodide symporter) (Na(+)/I(-) symporter) (Solute carrier family 5 member 5)	SLC5A5
Q01959	Sodium-dependent dopamine transporter (DA transporter) (DAT) (Solute carrier family 6 member 3)	SLC6A3
P43007	Neutral amino acid transporter A (Alanine/serine/cysteine/threonine transporter 1) (ASCT-1) (SATT) (Solute carrier family 1 member 4)	SLC1A4
O43819	"Protein SCO2 homolog, mitochondrial"	SCO2
Q9NY46	Sodium channel protein type 3 subunit alpha (Sodium channel protein brain III subunit alpha) (Sodium channel protein type III subunit alpha) (Voltage-gated sodium channel subtype III) (Voltage-gated sodium channel subunit alpha Nav1.3)	SCN3A
Q14524	Sodium channel protein type 5 subunit alpha (Sodium channel protein cardiac muscle subunit alpha) (Sodium channel protein type V subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.5) (hH1)	SCN5A
Q96T21	Selenocysteine insertion sequence-binding protein 2 (SECIS-binding protein 2)	SECISBP2
Q9NX18	"Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (SDHAF2)"	SDHAF2
Q8WWV3	"Reticulon-4-interacting protein 1, mitochondrial (NOGO-interacting mitochondrial protein)"	RTN4IP1
P62304	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	SNRPE
O60779	Thiamine transporter 1 (ThTr-1) (ThTr1) (Solute carrier family 19 member 2) (Thiamine carrier 1) (TC1)	SLC19A2
Q9NZJ4	Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29)	SACS
Q9C0K1	Metal cation symporter ZIP8 (BCG-induced integral membrane protein in monocyte clone 103 protein) (LIV-1 subfamily of ZIP zinc transporter 6) (LZT-Hs6) (Solute carrier family 39 member 8) (Zrt- and Irt-like protein 8) (ZIP-8)	SLC39A8
Q9Y3A5	Ribosome maturation protein SBDS (Shwachman-Bodian-Diamond syndrome protein)	SBDS
P21912	"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)"	SDHB
Q08357	Sodium-dependent phosphate transporter 2 (Gibbon ape leukemia virus receptor 2) (GLVR-2) (Phosphate transporter 2) (PiT-2) (Pit2) (hPit2) (Solute carrier family 20 member 2)	SLC20A2
P40879	Chloride anion exchanger (Down-regulated in adenoma) (Protein DRA) (Solute carrier family 26 member 3)	SLC26A3
Q96S37	Solute carrier family 22 member 12 (Organic anion transporter 4-like protein) (Renal-specific transporter) (RST) (Urate anion exchanger 1)	SLC22A12
Q9H2D6	TRIO and F-actin-binding protein (Protein Tara) (Trio-associated repeat on actin)	TRIOBP
Q9HAB3	"Solute carrier family 52, riboflavin transporter, member 2 (Porcine endogenous retrovirus A receptor 1) (PERV-A receptor 1) (Protein GPR172A) (Riboflavin transporter 3) (hRFT3)"	SLC52A2
Q15043	Metal cation symporter ZIP14 (LIV-1 subfamily of ZIP zinc transporter 4) (LZT-Hs4) (Solute carrier family 39 member 14) (Zrt- and Irt-like protein 14) (ZIP-14)	SLC39A14
P31213	3-oxo-5-alpha-steroid 4-dehydrogenase 2 (EC 1.3.1.22) (5 alpha-SR2) (SR type 2) (Steroid 5-alpha-reductase 2) (S5AR 2) (Type II 5-alpha reductase)	SRD5A2
Q695T7	Sodium-dependent neutral amino acid transporter B(0)AT1 (Solute carrier family 6 member 19) (System B(0) neutral amino acid transporter AT1)	SLC6A19
Q6ZMH5	Zinc transporter ZIP5 (Solute carrier family 39 member 5) (Zrt- and Irt-like protein 5) (ZIP-5)	SLC39A5
Q9Y6R1	Electrogenic sodium bicarbonate cotransporter 1 (Sodium bicarbonate cotransporter) (Na(+)/HCO3(-) cotransporter) (Solute carrier family 4 member 4) (kNBC1)	SLC4A4
Q5K651	Sterile alpha motif domain-containing protein 9 (SAM domain-containing protein 9)	SAMD9
Q9NSC2	Sal-like protein 1 (Spalt-like transcription factor 1) (Zinc finger protein 794) (Zinc finger protein SALL1) (Zinc finger protein Spalt-1) (HSal1) (Sal-1)	SALL1
Q9UJQ4	Sal-like protein 4 (Zinc finger protein 797) (Zinc finger protein SALL4)	SALL4
P68366	Tubulin alpha-4A chain (Alpha-tubulin 1) (Testis-specific alpha-tubulin) (Tubulin H2-alpha) (Tubulin alpha-1 chain)	TUBA4A
Q70HW3	S-adenosylmethionine mitochondrial carrier protein (Mitochondrial S-adenosylmethionine transporter) (Solute carrier family 25 member 26)	SLC25A26
Q13228	Methanethiol oxidase (MTO) (EC 1.8.3.4) (56 kDa selenium-binding protein) (SBP56) (SP56) (Selenium-binding protein 1)	SELENBP1
P37088	Amiloride-sensitive sodium channel subunit alpha (Alpha-NaCH) (Epithelial Na(+) channel subunit alpha) (Alpha-ENaC) (ENaCA) (Nonvoltage-gated sodium channel 1 subunit alpha) (SCNEA)	SCNN1A
Q9UQD0	Sodium channel protein type 8 subunit alpha (Sodium channel protein type VIII subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.6)	SCN8A
